address,amount_usd,success,selector_used,user_agent
0x987c8f0e5c906784060a087a2694b3c5f1c97817,106220,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
0x9cf7db3586e0089d932d2b8bc96e0da753c5c737,0,true,[class*=""HeaderInfo_totalAssetInner""],Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7; rv:109.0) Gecko/20100101 Firefox/115.0
0x9d493e2eb19964e2e60750062520d59dc4169c62,385947,true,[class*=""HeaderInfo_totalAssetInner""],Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7; rv:109.0) Gecko/20100101 Firefox/115.0
0x9eadb75d844112cbf02ef82c0efcdcf7cfcae824,9699,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"
0xa22c38ba66affb6a5117e98a0df2bb9b653e75b7,9878,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
0xa32c266df58fb884bc1c00f528dcad6674efd304,0,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
0xa3b30de0d20af1296c816fcbd67d4df86d4ac84b,56291,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
0xa5c14f8c953467391b5807c6595461f0405ad4e2,3021,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"
0xa967c7f226a8d4e1149e3b795680bb8a3616c5e5,9062,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Safari/605.1.15"
0xab8b421fc61f9d58e956459100cbce879d3308f1,131623,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
0xafa5b484ade9f3b062d286c3b150a1187f57b643,75214,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
0xaff3be8f187a9315a0f7355fb11ed957e75efc5a,53675,true,[class*=""HeaderInfo_totalAssetInner""],Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7; rv:109.0) Gecko/20100101 Firefox/115.0
0xb29489b08aa6f28a70358f22a9c40fadebf41e60,6075,true,[class*=""HeaderInfo_totalAssetInner""],Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7; rv:109.0) Gecko/20100101 Firefox/115.0
0xb7134086a8a88867268214b8a2ce21f92a5b049b,0,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
0xb863ef9b3cb6619ba98080a48dba05612af52585,0,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"
0xb98e61ac46b3f795fee203dabcbeafc3225fd598,6827,true,[class*=""HeaderInfo_totalAssetInner""],Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7; rv:109.0) Gecko/20100101 Firefox/115.0
0xb9d6851835e35d3da82feecc51370b1d632f9e07,9853,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Safari/605.1.15"
0xbbe50b3b20403646528924da884cbe0e6eab797b,42089,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Safari/605.1.15"
0xbd108589bf327025989a351c451568764767c6eb,989,true,[class*=""HeaderInfo_totalAssetInner""],Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/121.0
0xbd3a292dfdb9851e11f328c35085924e19aa5b48,58195,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Safari/605.1.15"
0xbf0c919d6517ea7d24ab1445f4ecb414941df688,10541,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"
0xc1e4b23d5a5f45ae20486e2f8e6540b609fda61e,3466,true,[class*=""HeaderInfo_totalAssetInner""],Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7; rv:109.0) Gecko/20100101 Firefox/115.0
0xc257c17648f5b6b2f59c51e21f310b44e2c1f723,121208,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
0xc8b0ab5ae9fd0082dc90a308d65c84025896e389,9714,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Safari/605.1.15"
0xc95c4c089ea9ee3555338dee719edc8a5a2c56fe,3947,true,,
0xcb040f7d0a3809d0f748056e3687aab0c558588f,39,true,[class*=""HeaderInfo_totalAssetInner""],Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7; rv:109.0) Gecko/20100101 Firefox/115.0
